address1,address2,city,state,zip,country,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,regularMarketPreviousClose,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Jean Paul Terra Prates', 'age': 55, 'title': 'CEO, Member of Executive Board & Director', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Sergio Caetano Leite', 'age': 53, 'title': 'Chief Financial & Investor Relations Officer and Member of Executive Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Mario Vinicius Claussen Spinelli', 'age': 52, 'title': 'Chief Governance & Compliance Officer and Member of Executive Board', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Joelson Falcao Mendes', 'age': 59, 'title': 'Chief Exploration & Production Officer and Member of Executive Board', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Carlos Jose do Nascimento Travassos', 'age': 55, 'title': 'Chief Engineering, Technology & Innovation Officer and Member of Executive Board', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Claudio Romeo Schlosser', 'age': 59, 'title': 'Chief Logistics, Commercialization & Markets Officer and Member of Executive Board', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. William Franca da Silva', 'age': 63, 'title': 'Chief Industrial Processes & Products Officer and Member of Executive Board', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Ms. Clarice  Coppetti', 'age': 59, 'title': 'Chief Corporate Affairs Officer & Member of Executive Board', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Mauricio Tiomno Tolmasquim', 'age': 65, 'title': 'Chief Energy Transition & Sustainability Officer and Member of Executive Board', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
"Avenida Henrique Valadares, 28",19th floor,Rio de Janeiro,RJ,20241-030,Brazil,https://petrobras.com.br,Oil & Gas Integrated,oil-gas-integrated,Oil & Gas Integrated,Energy,energy,Energy,"Petróleo Brasileiro S.A. - Petrobras explores, produces, and sells oil and gas in Brazil and internationally. The company operates through three segments: Exploration and Production; Refining, Transportation and Marketing; and Gas and Power. The Exploration and Production segment explores, develops, and produces crude oil, natural gas liquids, and natural gas primarily for supplies to the domestic refineries. The Refining, Transportation and Marketing segment engages in the refining, logistics, transport, acquisition, and exports of crude oil; and production of fertilizers, as well as holding interests in petrochemical companies. The Gas and Power segment is involved in the logistic and trading of natural gas and electricity; transportation and trading of LNG; generation of electricity through thermoelectric power plants; renewable energy businesses; low carbon services; and natural gas processing business, as well as production of biodiesel and its co-products. The company also engages in prospecting, drilling, refining, processing, trading, and transporting crude oil from producing onshore and offshore oil fields, and shale or other rocks, as well as oil products, natural gas, and other liquid hydrocarbons. In addition, it engages in research, development, production, transport, distribution, and trading of energy. Petróleo Brasileiro S.A. - Petrobras was incorporated in 1953 and is headquartered in Rio de Janeiro, Brazil.",46730,"{'maxAge': 1, 'name': 'Mr. Hélio Siqueira Júnior', 'title': 'Acting General Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",3,5,1,8,2,1714521600,86400,2,40.4336,40.4336,5.42,0.1358,1714694400,0.79230005,17.8,1.005,4.3031282,4.9552794,46593491,45431940,45431940,39.85,39.8,530728484864,42.94,1.0365912,39.03,36.51835,6.268,0.15501958,BRL,745880092672,0.24337,8002180882,5467060224,0.16070999,0.34727,13304800256,29.4,1.3568027,1703980800,1735603200,1703980800,-0.284,124605997056,9.27,8.05,-0.73,2:1,1209340800,1.457,3.03,0.627499,0.22379243,1.757152,1714694400,SAO,EQUITY,PETR4.SA,PETR4.SA,PETROBRAS   PN      N2,Petróleo Brasileiro S.A. - Petrobras,946900800,America/Sao_Paulo,BRT,f698f172-aeef-3c5e-887d-d45f94bdd057,finmb_409268,-10800000,39.89,49.0,26.0,41.09,43.0,2.4,buy,11,75263000576,5.816,246184001536,303061991424,0.675,0.958,511994003456,79.265,39.317,0.12573,0.33523998,145478746112,215695998976,-0.279,-0.153,0.52722,0.48083,0.37592998,BRL,1.9934
